topology,p_replicas,d_replicas,rr,il,ol,completed,duration_s,request_throughput,output_throughput_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_latency_ms,p99_e2e_latency_ms
1P2D,1,2,1,1024,1024,200,205.89728204208149,0.9713581355538429,994.6707308071351,64.3057535238524,112.88201944477728,13.540182114018847,14.2964871848999,13915.912056165136,14682.319483667694
1P2D,1,2,1,1024,4096,200,345.1827013533048,0.5794033108145069,2361.3726783072934,27658.394609745865,80442.54514646524,22.239389424972256,23.610649399913882,118728.69430500726,157269.20927054968
1P2D,1,2,1,4096,1024,200,209.85401749554933,0.9530434651042203,971.0416909427134,251.40243722488293,689.570131926672,21.379160790727052,25.095345006054927,22122.283926138654,25884.386867001944
1P2D,1,2,1,4096,4096,200,521.1505371382617,0.3837662743249554,1564.0490451682138,85271.83631578491,237789.3234438078,34.41464891196848,36.79329004206223,226199.82361029583,330808.270191401
1P2D,1,2,1,8192,1024,200,233.86503767080015,0.8551940982368206,871.3444387820228,3296.5439389642315,14546.559385058783,55.38290214865848,65.32101324594905,59953.25283704185,72847.19680191542
1P2D,1,2,1,8192,4096,200,854.3282374841326,0.23410205963573175,954.0887965969156,221752.582948825,542324.4120373201,41.391976126016864,47.70641917516387,391252.72518486413,676029.6692563929
1P2D,1,2,1,16384,1024,200,557.9508145058286,0.3584545354183916,365.223949319768,145818.15785043838,333433.13602713554,66.07850239206819,84.51779174402711,213416.46579752414,373175.82460044307
1P2D,1,2,1,16384,4096,200,2039.993599651397,0.09803952327800286,399.56252810758264,812216.6308414267,1691355.2992675095,56.48591349945379,65.25227803431365,1043526.44662169,1858534.390866383
1P2D,1,2,8,1024,1024,200,77.92391393707899,2.5666061917974687,2615.076549729564,14011.672679671465,39521.64231782013,19.541239337627736,20.988096688219585,34002.360522064635,52920.53079210686
1P2D,1,2,8,1024,4096,200,348.5771884766527,0.5737610107937278,2338.3773435151074,95912.90526287588,266765.1579758251,23.115014119057708,24.38680111444372,190568.8880804172,323573.8053316806
1P2D,1,2,8,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,58292.27923748642,155010.91950147672,50.298781619717374,57.74525419271561,109747.9328344573,171374.1613350795
1P2D,1,2,8,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,258357.58641245865,710083.6710834983,56.45373924743468,59.63369290383543,489535.6486307036,778925.1157927812
1P2D,1,2,8,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,115021.90748683202,264888.8915887094,75.14508432517336,91.01193754067361,191895.3287514844,303381.8583500546
1P2D,1,2,8,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,491892.2389488835,1084047.025561659,61.98560807903693,67.13979738743193,745723.3040325397,1246012.7850051315
1P2D,1,2,8,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,267945.7622683158,569645.7951105965,80.16399510167945,94.6056370430956,349953.5292573339,609966.8464045423
1P2D,1,2,8,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,969633.784644224,2008933.3851389366,66.14853590720736,70.4734964397858,1240512.0391842383,2202683.147091888
1P2D,1,2,64,1024,1024,200,76.10966385521913,2.627787193758382,2677.4129549125087,22740.02773154631,59861.951010092875,18.498453697050728,20.754419882808076,41663.94586362922,72188.07353684178
1P2D,1,2,64,1024,4096,200,343.09376116004364,0.5829310312253262,2375.7499910345973,106053.98799429282,288273.39945070585,22.674730842890813,24.32741741837689,198907.0107959307,339171.1440502689
1P2D,1,2,64,4096,1024,200,195.74507978642205,1.0217370480944936,1041.032552247758,68704.73269120867,175973.58912131086,50.298781619717374,57.74525419271561,120160.38628817954,191823.71498000424
1P2D,1,2,64,4096,4096,200,803.2960342441237,0.24897421557445346,1014.7006399290744,268770.03986618086,731046.3407033322,56.45373924743468,59.63369290383543,499948.1020844259,799374.669437706
1P2D,1,2,64,8192,1024,200,326.1405720539073,0.6132325050528895,624.8134009108134,125434.36094055431,285896.6204417279,75.14508432517336,91.01193754067361,202307.7822052067,322420.73284092575
1P2D,1,2,64,8192,4096,200,1268.7714987089842,0.15763279692482565,642.4364046870501,502304.6924026057,1105054.7544146776,61.98560807903693,67.13979738743193,756135.757486262,1265051.6594960024
1P2D,1,2,64,16384,1024,200,633.5242475026691,0.31569430971015416,321.6561967490304,278358.2157220381,590653.5239636151,80.16399510167945,94.6056370430956,360365.98271105613,629704.5723654034
1P2D,1,2,64,16384,4096,200,2225.8454681203557,0.08985349740783785,366.2001750230783,980046.2380979464,2029941.113991955,66.14853590720736,70.4734964397858,1250924.4926379607,2222075.177991797
2P1D,2,1,1,1024,1024,200,206.4955962574216,0.9685436572249025,991.7887049983002,63.181543948137175,99.91805132156358,15.00064223648617,16.290616620359966,15408.838551873492,16722.424887141864
2P1D,2,1,1,1024,4096,200,498.83626919014125,0.4009331565339049,1634.0131027828427,75656.06265304206,207474.30596030704,33.36617959084441,35.60602643415036,212290.56807754995,310178.7061227697
2P1D,2,1,1,4096,1024,200,220.2115489012114,0.9082175798587274,925.3692688543595,248.6041145079133,611.0682298615689,38.02643404115713,45.95504994861963,39149.64613861166,47336.73265520932
2P1D,2,1,1,4096,4096,200,807.0644757612375,0.24781167553107383,1009.9626789187797,182762.0484282586,502734.5065821091,56.1651155530298,59.84529370103287,412758.1966179156,619082.545155346
2P1D,2,1,1,8192,1024,200,349.40686710208894,0.5723985955363735,583.2083430130779,46617.79127986928,123370.55607672507,87.86044136559124,101.47482457308269,136499.02279686913,175761.56402425462
2P1D,2,1,1,8192,4096,200,1281.3358970937645,0.15608709664158,636.1368645401752,417731.02499131265,938168.9288969226,63.568893891487676,69.67782328128379,678045.6454769549,1104524.2600991158
2P1D,2,1,1,16384,1024,200,735.9147218595058,0.271770619691696,276.9030078445737,243821.73871443636,505270.6713531649,85.68775330799028,117.95777821016321,331480.3103485104,554455.513074492
2P1D,2,1,1,16384,4096,200,2318.9196316161124,0.08624705973989062,351.50204814641774,937709.8606221302,1935241.9505204216,67.21428130427152,75.475071688946,1212952.342563122,2140621.0633883723
2P1D,2,1,8,1024,1024,200,95.25609974787312,2.0996030755969053,2139.254079679553,19864.791217195838,55643.86847622736,25.053259382115947,26.164096899120533,45494.275565100455,70884.02117107243
2P1D,2,1,8,1024,4096,200,494.232368259126,0.4046679514425085,1649.2343528027295,147006.97337594867,408102.9583774476,34.383754606102045,35.46821094484818,287808.4484879366,469860.1362400191
2P1D,2,1,8,4096,1024,200,192.97933296682868,1.0363804088512323,1055.9524528723878,56833.8143854382,152435.244039597,49.711439856474136,57.059867179247696,107688.61735861124,168608.4145154861
2P1D,2,1,8,4096,4096,200,800.5302874245311,0.24983439495267656,1018.2063224895071,256899.12156041048,707507.995621619,56.30701137837544,59.41489131473025,487476.3331548579,776159.3689731887
2P1D,2,1,8,8192,1024,200,332.22814169753866,0.6019959627083021,613.3646564640484,120706.19047623852,271120.2180288225,75.01084500237067,93.87048906046266,197442.2849136637,309469.4279936859
